Feature,Importance
Cl_mgL,0.2652629315853119
NO3,0.24466586112976074
Mg_mgL,0.16487404704093933
Ca_mgL,0.09436997026205063
F_mgL,0.07348993420600891
Na_mgL,0.06468760222196579
SO4,0.041822027415037155
pH,0.04049689695239067
K_mgL,0.010330747812986374
