S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb),coordinate_flag,NO3_extreme_flag
2933.0,Jammu & Kashmir,Udhampur,Salabra,75.175,32.7167,2023.0,6.85,580.0,0.0,376.0,7.0,0.21,15.0,5.0,0.0,305.0,98.0,15.0,13.0,1.0,-0.03,0.15,2.63,,
2934.0,Jammu & Kashmir,Udhampur,Dalsar,75.3125,32.8192,2023.0,6.96,770.0,0.0,505.0,15.0,0.34,18.0,3.0,0.0,330.0,104.0,17.0,65.0,2.0,0.14,0.6,2.1,,
2935.0,Jammu & Kashmir,Udhampur,Dehari,75.2728,32.7814,2023.0,6.96,790.0,0.0,394.0,50.0,0.26,47.0,13.0,0.0,335.0,104.0,18.0,60.0,2.0,-0.01,0.26,3.03,,
2936.0,Jammu & Kashmir,Udhampur,Jallow,75.2317,32.7958,2023.0,7.14,670.0,0.0,407.0,25.0,0.22,29.0,3.0,0.0,360.0,122.0,13.0,20.0,7.0,0.0,1.6,2.41,,
2937.0,Jammu & Kashmir,Udhampur,Ramnagar,75.31,32.8064,2023.0,6.37,420.0,0.0,234.0,20.0,0.13,16.0,5.0,0.22,205.0,66.0,10.0,17.0,3.0,-0.02,0.34,0.22,,
2938.0,Jammu & Kashmir,Udhampur,Dhanu Kannal,75.0072,32.9628,2023.0,6.91,630.0,0.0,429.0,5.0,0.16,9.0,3.0,0.0,360.0,118.0,16.0,9.0,1.0,-0.03,0.3,0.78,,
2939.0,Jammu & Kashmir,Udhampur,Badola,75.0347,32.9444,2023.0,7.05,610.0,0.0,313.0,25.0,0.15,20.0,36.0,0.0,320.0,116.0,7.0,10.0,2.0,-0.01,0.76,1.73,,
2940.0,Jammu & Kashmir,Udhampur,Battal Ballian,75.1256,32.8797,2023.0,6.77,740.0,0.0,233.0,55.0,0.27,79.0,42.0,0.0,300.0,88.0,19.0,43.0,2.0,-0.03,0.34,1.21,,
2941.0,Jammu & Kashmir,Udhampur,Birmah,75.1089,32.915,2023.0,6.8,560.0,0.0,560.0,17.0,0.18,19.0,3.0,0.0,285.0,102.0,7.0,16.0,3.0,-0.03,1.72,0.41,,
2942.0,Jammu & Kashmir,Udhampur,Eastern Mand,75.0239,32.8967,2023.0,6.73,650.0,0.0,374.0,22.0,0.17,22.0,3.0,0.0,325.0,102.0,17.0,20.0,3.0,-0.03,0.37,0.86,,
2943.0,Jammu & Kashmir,Udhampur,Garhi (Udh),75.0825,32.905,2023.0,6.97,860.0,0.0,454.0,37.0,0.27,41.0,24.0,0.0,410.0,128.0,22.0,30.0,2.0,-0.03,0.17,1.03,,
2929.0,Jammu & Kashmir,Udhampur,Talpad,75.1988,32.8595,2023.0,6.5,340.0,0.0,210.0,12.0,0.22,13.0,3.0,0.0,175.0,52.0,11.0,14.0,1.0,-0.03,0.23,0.19,,
2816.0,Jammu & Kashmir,Kathua,Khanpur,75.3561,32.425,2023.0,6.93,310.0,0.0,166.0,7.0,0.26,13.0,3.0,0.0,145.0,44.0,9.0,11.0,1.0,-0.02,0.16,0.64,,
2912.0,Jammu & Kashmir,Samba,Gho Brahmna,74.9541,32.556,2023.0,7.5,580.0,0.0,352.0,12.0,0.3,11.0,18.0,0.0,265.0,76.0,18.0,32.0,2.0,0.29,0.3,3.16,,
2910.0,Jammu & Kashmir,Samba,Sanoora,75.1778,32.4878,2023.0,7.01,420.0,0.0,268.0,7.0,0.26,14.0,3.0,0.0,225.0,72.0,11.0,12.0,3.0,-0.03,0.31,1.34,,
2880.0,Jammu & Kashmir,Rajouri,Seri,74.2873,33.0833,2023.0,7.18,1320.0,0.0,453.0,177.0,0.29,78.0,53.0,0.0,584.0,173.0,38.0,85.0,1.0,-0.04,0.17,3.84,,
2881.0,Jammu & Kashmir,Rajouri,Sial,74.3158,33.0729,2023.0,7.25,680.0,0.0,441.0,12.0,0.33,20.0,3.0,0.0,351.0,113.0,17.0,22.0,1.0,-0.01,0.35,2.7,,
2882.0,Jammu & Kashmir,Rajouri,Chittiar,74.2834,33.2867,2023.0,7.09,410.0,0.0,271.0,5.0,0.18,8.0,3.0,0.0,228.0,77.0,9.0,6.0,1.0,-0.04,0.3,0.38,,
2883.0,Jammu & Kashmir,Rajouri,Siot,74.3788,33.1128,2023.0,6.8,1000.0,0.0,505.0,56.0,0.27,34.0,40.0,0.0,515.0,173.0,21.0,27.0,3.0,-0.03,0.28,4.23,,
2884.0,Jammu & Kashmir,Rajouri,Ainpur,74.4465,33.0422,2023.0,7.11,450.0,0.0,288.0,10.0,0.22,14.0,4.0,0.0,230.0,76.0,10.0,16.0,0.0,-0.04,0.17,0.46,,
2885.0,Jammu & Kashmir,Rajouri,Baja Bain,74.4136,33.0544,2023.0,6.85,800.0,0.0,362.0,53.0,0.39,60.0,52.0,0.0,385.0,120.0,21.0,35.0,2.0,-0.04,0.23,4.07,,
2886.0,Jammu & Kashmir,Rajouri,Bakhar,74.4275,33.088,2023.0,7.13,690.0,0.0,454.0,10.0,0.22,20.0,10.0,0.0,380.0,134.0,11.0,9.0,1.0,-0.03,0.34,2.02,,
2887.0,Jammu & Kashmir,Rajouri,Banpari,74.4566,33.0367,2023.0,7.29,670.0,0.0,417.0,15.0,0.25,23.0,9.0,0.0,360.0,122.0,13.0,13.0,1.0,-0.04,0.18,1.03,,
2888.0,Jammu & Kashmir,Rajouri,Channi Parat,74.464,33.0873,2023.0,7.05,520.0,0.0,339.0,8.0,0.33,14.0,4.0,0.0,257.0,83.0,12.0,19.0,3.0,-0.04,0.34,3.34,,
2889.0,Jammu & Kashmir,Rajouri,Dhok Baniyar,74.4124,33.0322,2023.0,7.17,720.0,0.0,429.0,20.0,0.19,21.0,14.0,0.0,350.0,106.0,21.0,27.0,1.0,0.01,0.11,2.65,,
2890.0,Jammu & Kashmir,Rajouri,Kangri (Grid Station),74.3916,33.0605,2023.0,6.9,580.0,0.0,325.0,13.0,0.28,18.0,19.0,0.0,295.0,92.0,16.0,15.0,1.0,-0.04,0.14,1.94,,
2891.0,Jammu & Kashmir,Rajouri,Marchola,74.4784,33.0884,2023.0,7.25,780.0,0.0,505.0,28.0,0.2,19.0,0.0,0.0,421.0,145.0,15.0,23.0,2.0,0.03,0.21,2.47,,
2892.0,Jammu & Kashmir,Rajouri,Salote,74.5244,33.0501,2023.0,7.11,650.0,0.0,313.0,35.0,0.27,36.0,9.0,0.0,325.0,100.0,18.0,18.0,1.0,-0.04,0.5,1.49,,
2893.0,Jammu & Kashmir,Rajouri,Thanda Pani,74.4868,33.0673,2023.0,7.25,810.0,0.0,455.0,47.0,0.28,48.0,13.0,0.0,449.0,158.0,13.0,31.0,1.0,-0.04,0.15,1.83,,
2911.0,Jammu & Kashmir,Samba,Didyal,74.9583,32.4703,2023.0,7.21,580.0,0.0,325.0,18.0,0.36,16.0,33.0,0.0,266.0,89.0,11.0,33.0,1.0,-0.03,0.11,2.88,,
2894.0,Jammu & Kashmir,Rajouri,Thangrot,74.5883,33.1418,2023.0,7.33,730.0,0.0,510.0,12.0,0.23,17.0,11.0,0.0,424.0,117.0,32.0,10.0,2.0,-0.04,0.13,0.79,,
