pH,EC_uScm,TDS_mgL,HCO3_mgL,Cl_mgL,F_mgL,SO4,NO3,Total_Hardness_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,pH_exceed,TDS_mgL_exceed,NO3_exceed,F_mgL_exceed,Cl_mgL_exceed,SO4_exceed,Total_Hardness_mgL_exceed,risk_score,risk_label,Latitude,Longitude,State,District,Location,coordinate_flag
7.39,4560.0,3055.2000000000003,433.0,590.0,1.09,1108.0,19.0,1251.0,240.0,158.0,515.0,29.0,0,1,0,0,1,1,1,4,HIGH,29.4133,75.3278,Haryana,Fatehabad,Mehuwala,
7.57,5071.0,3397.57,481.0,604.0,1.57,1227.0,34.0,1191.0,104.0,226.0,654.0,24.0,0,1,0,1,1,1,1,5,HIGH,29.3537,75.427,Haryana,Fatehabad,Chabarwal,
7.84,3646.0,2442.82,561.0,845.0,0.85,84.0,20.0,430.0,20.0,92.0,605.0,11.0,0,1,0,0,1,0,1,3,HIGH,29.3126,75.4493,Haryana,Fatehabad,Sadalpur,
7.88,682.0,456.94000000000005,398.0,28.0,1.61,0.0,26.0,120.0,20.0,17.0,116.0,4.0,0,0,0,1,0,0,0,1,MODERATE,29.788,75.806,Haryana,Fatehabad,Talwara,
7.32,2651.0,1776.17,1172.0,302.0,1.01,12.0,33.0,550.0,92.0,78.0,210.0,355.0,0,1,0,0,1,0,1,3,HIGH,29.6191,75.9373,Haryana,Fatehabad,Samain,
7.6,2104.0,1409.68,489.0,274.0,1.1,237.0,16.0,580.0,77.0,94.0,227.0,8.0,0,1,0,0,1,1,1,4,HIGH,28.4013,77.4203,Haryana,Faridabad,Jasana,
7.4,1569.0,1051.23,479.0,113.0,1.4,184.0,22.0,487.0,77.0,72.0,129.0,4.0,0,1,0,0,0,0,1,2,MODERATE,28.4644,77.3696,Haryana,Faridabad,Dadsia,
8.09,5500.0,3685.0,293.0,1676.0,0.5,38.0,1.0,910.0,168.0,119.0,796.0,20.0,0,1,0,0,1,0,1,3,HIGH,28.4181,77.3139,Haryana,Faridabad,Cgwb Chq Nh-Iv,
7.89,1096.0,734.32,116.0,85.0,0.79,279.0,19.0,165.0,40.0,16.0,152.0,11.0,0,1,0,0,0,1,0,2,MODERATE,28.4292,77.3917,Haryana,Faridabad,Bhopani,
7.53,3187.0,2135.29,489.0,472.0,0.71,476.0,15.0,587.0,69.0,101.0,459.0,17.0,0,1,0,0,1,1,1,4,HIGH,28.3662,77.3896,Haryana,Faridabad,Tigaon,
7.81,6426.0,4305.42,366.0,1732.0,0.35,336.0,17.0,1860.0,268.0,289.0,533.0,116.0,0,1,0,0,1,1,1,4,HIGH,28.2758,77.2882,Haryana,Faridabad,Sikri,
8.1,1545.0,1035.15,467.0,135.0,1.0,188.0,23.0,435.0,48.0,77.0,149.0,7.0,0,1,0,0,0,0,1,2,MODERATE,28.2654,77.3748,Haryana,Faridabad,Ladholi,
7.78,1973.0,1321.91,397.0,236.0,0.67,224.0,103.0,472.0,49.0,85.0,223.0,22.0,0,1,1,0,0,1,1,4,HIGH,28.4081,77.3955,Haryana,Faridabad,Kabulpur,
7.92,588.0,393.96,215.0,35.0,0.66,0.0,97.0,184.0,36.0,23.0,49.0,7.0,0,0,1,0,0,0,0,1,MODERATE,28.3209,77.4501,Haryana,Faridabad,Immamuddinpur,
7.82,1242.0,832.1400000000001,309.0,135.0,0.69,97.0,66.0,405.0,42.0,73.0,91.0,15.0,0,1,1,0,0,0,1,3,HIGH,28.3393,77.3166,Haryana,Faridabad,Chhainsa,
7.87,4559.0,3054.53,744.0,902.0,1.1,336.0,29.0,950.0,168.0,129.0,563.0,114.0,0,1,0,0,1,1,1,4,HIGH,28.347,77.335,Haryana,Faridabad,Ballabgarh,
7.52,5556.0,3722.52,305.0,1825.0,1.1,129.0,24.0,1300.0,256.0,161.0,745.0,1.0,0,1,0,0,1,0,1,3,HIGH,28.7145,76.1448,Haryana,Charkhi Dadri,Neemriwali,
7.91,712.0,477.04,274.0,99.0,0.6,0.0,22.0,100.0,40.0,2.0,123.0,2.0,0,0,0,0,0,0,0,0,SAFE,28.4228,76.0704,Haryana,Charkhi Dadri,Naurangabad Jattan,
7.75,731.0,489.77,227.0,107.0,0.85,68.0,3.0,290.0,36.0,49.0,61.0,1.0,0,0,0,0,0,0,1,1,MODERATE,28.6277,76.044,Haryana,Charkhi Dadri,Dudiwala Nandkaran,
7.64,3000.0,2010.0,403.0,760.0,0.42,58.0,29.0,1050.0,236.0,112.0,214.0,2.0,0,1,0,0,1,0,1,3,HIGH,28.3809,77.2411,Haryana,Faridabad,Pali,
7.91,637.0,426.79,305.0,43.0,0.55,78.0,0.0,230.0,56.0,22.0,75.0,4.0,0,0,0,0,0,0,1,1,MODERATE,30.2319,76.8333,Haryana,Kurukshetra,Samalkhi,
8.65,381.0,255.27,61.0,21.0,0.42,33.0,21.0,150.0,24.0,22.0,18.0,8.0,1,0,0,0,0,0,0,1,MODERATE,30.3689,77.8,Uttarakhand,Dehradun,Sabhawala,
7.49,153.0,102.51,73.0,14.0,0.0,0.0,0.0,60.0,12.0,7.0,10.0,0.0,0,0,0,0,0,0,0,0,SAFE,30.4378,77.79,Uttarakhand,Dehradun,Luxmipur,
7.69,483.0,323.61,281.0,7.0,0.42,0.0,0.0,200.0,44.0,22.0,16.0,0.0,0,0,0,0,0,0,0,0,SAFE,30.4239,77.6956,Uttarakhand,Dehradun,Judli,
7.4,258.0,172.86,73.0,21.0,0.0,29.0,21.0,120.0,20.0,17.0,9.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.5067,77.8347,Uttarakhand,Dehradun,Jamuna Pull* New,
7.55,323.0,216.41000000000005,134.0,14.0,0.32,7.0,25.0,155.0,40.0,13.0,6.0,3.0,0,0,0,0,0,0,0,0,SAFE,30.4367,77.7428,Uttarakhand,Dehradun,Herbertpur,
8.35,378.0,253.26,85.0,21.0,0.0,12.0,27.0,170.0,56.0,7.0,15.0,2.0,0,0,0,0,0,0,0,0,SAFE,30.5161,77.8356,Uttarakhand,Dehradun,Haripur,
7.75,335.0,224.45,159.0,18.0,0.46,5.0,0.0,140.0,32.0,14.0,12.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.4175,77.7281,Uttarakhand,Dehradun,Dharmawala,
7.92,190.0,127.3,79.0,11.0,0.0,0.0,20.0,90.0,16.0,12.0,6.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.44,77.7028,Uttarakhand,Dehradun,Dhakrani,
7.87,413.0,276.71000000000004,220.0,21.0,0.0,0.0,15.0,180.0,44.0,17.0,21.0,2.0,0,0,0,0,0,0,0,0,SAFE,30.4961,77.7925,Uttarakhand,Dehradun,Dakpatthar,
7.82,175.0,117.25,73.0,14.0,0.0,6.0,7.0,70.0,16.0,7.0,11.0,0.0,0,0,0,0,0,0,0,0,SAFE,30.4342,77.7911,Uttarakhand,Dehradun,Barothiwala,
8.67,241.0,161.47,31.0,14.0,0.0,6.0,7.0,100.0,24.0,10.0,10.0,0.0,1,0,0,0,0,0,0,1,MODERATE,30.4444,77.7825,Uttarakhand,Dehradun,Baluwala,
8.09,380.0,254.6,220.0,7.0,0.0,0.0,7.0,170.0,4.0,38.0,11.0,0.0,0,0,0,0,0,0,0,0,SAFE,30.4014,77.7511,Uttarakhand,Dehradun,Badripur,
8.04,629.0,421.43,336.0,21.0,0.47,12.0,25.0,315.0,72.0,32.0,5.0,0.0,0,0,0,0,0,0,1,1,MODERATE,30.3764,78.0983,Uttarakhand,Dehradun,Tarla Nagal,
8.35,292.0,195.64,73.0,11.0,0.35,5.0,37.0,100.0,20.0,12.0,15.0,2.0,0,0,0,0,0,0,0,0,SAFE,30.2672,78.1392,Uttarakhand,Dehradun,Soda Saroli,
7.88,432.0,289.44,165.0,11.0,0.48,0.0,70.0,200.0,52.0,17.0,8.0,0.0,0,0,1,0,0,0,0,1,MODERATE,30.4103,78.0667,Uttarakhand,Dehradun,Purukulgaon,
7.63,973.0,651.9100000000001,427.0,50.0,0.48,38.0,70.0,460.0,112.0,43.0,31.0,1.0,0,1,1,0,0,0,1,3,HIGH,30.2972,78.0047,Uttarakhand,Dehradun,Niranjanpur Mandi,
8.35,1975.0,1323.25,134.0,92.0,0.88,0.0,689.0,180.0,16.0,34.0,363.0,10.0,0,1,1,0,0,0,0,2,MODERATE,30.3333,78.0839,Uttarakhand,Dehradun,Nanurkhera,
8.39,2072.0,1388.24,146.0,107.0,0.88,0.0,701.0,180.0,24.0,29.0,373.0,10.0,0,1,1,0,0,0,0,2,MODERATE,30.3439,78.1203,Uttarakhand,Dehradun,Maldeota,
8.32,2004.0,1342.68,146.0,92.0,0.82,0.0,673.0,190.0,20.0,34.0,347.0,10.0,0,1,1,0,0,0,0,2,MODERATE,30.3139,78.0756,Uttarakhand,Dehradun,Ladpur Pz *,
7.8,447.0,299.49,171.0,39.0,0.37,0.0,45.0,180.0,20.0,31.0,25.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.3153,78.0072,Uttarakhand,Dehradun,Kanwali,
7.86,561.0,375.87,287.0,18.0,0.36,0.0,43.0,265.0,52.0,32.0,10.0,0.0,0,0,0,0,0,0,1,1,MODERATE,30.3233,77.9922,Uttarakhand,Dehradun,Harbanswala,
7.9,783.0,524.61,250.0,14.0,0.45,12.0,191.0,410.0,92.0,43.0,5.0,1.0,0,1,1,0,0,0,1,3,HIGH,30.2439,78.13,Uttarakhand,Dehradun,Gularghagti * Replace,
8.13,374.0,250.58,183.0,14.0,0.37,0.0,23.0,170.0,36.0,19.0,16.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.257,78.1504,Uttarakhand,Dehradun,Bhopalpani (Badawali),
7.99,416.0,278.72,195.0,14.0,0.48,6.0,41.0,200.0,44.0,22.0,9.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.105,78.2917,Uttarakhand,Dehradun,Rishikesh,
7.97,742.0,497.14,305.0,36.0,0.39,0.0,105.0,350.0,84.0,34.0,16.0,2.0,0,0,1,0,0,0,1,2,MODERATE,30.2653,78.0325,Uttarakhand,Dehradun,Mathrowala,
8.07,470.0,314.90000000000003,207.0,21.0,0.42,0.0,57.0,230.0,40.0,31.0,7.0,1.0,0,0,1,0,0,0,1,2,MODERATE,30.1197,78.1739,Uttarakhand,Dehradun,Lal Tappar,
7.75,198.0,132.66,98.0,14.0,0.57,0.0,0.0,85.0,16.0,11.0,11.0,0.0,0,0,0,0,0,0,0,0,SAFE,30.2447,78.2083,Uttarakhand,Dehradun,Kotimachak,
8.13,398.0,266.66,159.0,14.0,0.41,0.0,62.0,190.0,40.0,22.0,7.0,1.0,0,0,1,0,0,0,0,1,MODERATE,30.0161,78.205,Uttarakhand,Dehradun,Khandgaon,
7.86,406.0,272.02000000000004,159.0,21.0,0.43,28.0,31.0,160.0,40.0,14.0,23.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.0644,78.2233,Uttarakhand,Dehradun,Khadiri (Khadak Maf),
7.49,271.0,181.57,146.0,14.0,0.0,0.0,0.0,125.0,28.0,13.0,9.0,3.0,0,0,0,0,0,0,0,0,SAFE,30.3719,77.7222,Uttarakhand,Dehradun,Timli,
7.68,288.0,192.96,134.0,14.0,0.46,0.0,16.0,125.0,20.0,18.0,14.0,0.0,0,0,0,0,0,0,0,0,SAFE,30.1722,78.2336,Uttarakhand,Dehradun,Duggiawala,
7.47,235.0,157.45000000000002,85.0,14.0,0.0,8.0,23.0,105.0,36.0,4.0,8.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.4778,77.7883,Uttarakhand,Dehradun,Vikas Nagar,
7.38,1161.0,777.87,305.0,92.0,0.43,169.0,50.0,410.0,124.0,24.0,59.0,22.0,0,1,1,0,0,0,1,3,HIGH,30.0531,77.9386,Uttarakhand,Haridwar,Bandarjud,
7.97,1046.0,700.82,403.0,121.0,0.11,0.0,18.0,365.0,100.0,28.0,55.0,7.0,0,1,0,0,0,0,1,2,MODERATE,29.8075,77.7758,Uttarakhand,Haridwar,Jhabreda,
8.25,419.0,280.73,189.0,18.0,0.24,0.0,36.0,190.0,60.0,10.0,7.0,3.0,0,0,0,0,0,0,0,0,SAFE,29.7133,77.9111,Uttarakhand,Haridwar,Gurukul Narsen,
7.75,526.0,352.42,250.0,14.0,0.43,35.0,5.0,230.0,76.0,10.0,8.0,1.0,0,0,0,0,0,0,1,1,MODERATE,30.0861,77.9833,Uttarakhand,Haridwar,Sahidwala Grant,
7.7,688.0,460.96,378.0,21.0,0.48,0.0,10.0,285.0,52.0,37.0,37.0,2.0,0,0,0,0,0,0,1,1,MODERATE,29.9722,77.9497,Uttarakhand,Haridwar,Kota Muradnagar,
7.7,656.0,439.52,342.0,28.0,0.66,10.0,0.0,245.0,56.0,25.0,40.0,16.0,0,0,0,0,0,0,1,1,MODERATE,29.9611,77.9578,Uttarakhand,Haridwar,Jaswawala,
7.89,1413.0,946.71,537.0,107.0,0.19,0.0,160.0,650.0,156.0,62.0,38.0,9.0,0,1,1,0,0,0,1,3,HIGH,29.8744,77.8,Uttarakhand,Haridwar,Iqbalpur,
8.02,491.0,328.97,256.0,21.0,0.89,0.0,13.0,195.0,36.0,25.0,31.0,3.0,0,0,0,0,0,0,0,0,SAFE,29.91,77.7678,Uttarakhand,Haridwar,Chudiala,
7.64,586.0,392.62,329.0,14.0,0.41,20.0,0.0,280.0,80.0,19.0,10.0,2.0,0,0,0,0,0,0,1,1,MODERATE,30.0833,77.9022,Uttarakhand,Haridwar,Bugawala,
7.61,487.0,326.29,262.0,11.0,0.45,22.0,0.0,245.0,60.0,23.0,8.0,1.0,0,0,0,0,0,0,1,1,MODERATE,30.0869,77.8811,Uttarakhand,Haridwar,Budhwa Shahid,
8.14,581.0,389.27,317.0,14.0,0.56,0.0,0.0,180.0,40.0,19.0,55.0,1.0,0,0,0,0,0,0,0,0,SAFE,29.9417,77.8125,Uttarakhand,Haridwar,Bhagwanpur,
8.05,741.0,496.47,439.0,11.0,0.5,0.0,0.0,265.0,84.0,13.0,42.0,2.0,0,0,0,0,0,0,1,1,MODERATE,29.9872,77.8103,Uttarakhand,Haridwar,Bahabalpur,
7.81,597.0,399.99,323.0,11.0,0.42,0.0,30.0,170.0,48.0,12.0,56.0,4.0,0,0,0,0,0,0,0,0,SAFE,29.7586,78.0367,Uttarakhand,Haridwar,Laksar,
7.96,648.0,434.16,360.0,21.0,0.56,0.0,8.0,120.0,40.0,5.0,90.0,4.0,0,0,0,0,0,0,0,0,SAFE,29.7758,77.9969,Uttarakhand,Haridwar,Hussainpur,
7.95,953.0,638.51,403.0,78.0,0.63,68.0,5.0,305.0,72.0,30.0,74.0,42.0,0,1,0,0,0,0,1,2,MODERATE,29.75,78.1417,Uttarakhand,Haridwar,Bhikkampur,
8.2,628.0,420.7600000000001,293.0,71.0,0.81,0.0,0.0,175.0,52.0,11.0,72.0,2.0,0,0,0,0,0,0,0,0,SAFE,29.8975,78.0692,Uttarakhand,Haridwar,Malakpur Majra,
7.69,693.0,464.31,366.0,21.0,0.59,6.0,8.0,300.0,32.0,53.0,22.0,2.0,0,0,0,0,0,0,1,1,MODERATE,25.3628,81.9033,Uttar Pradesh,Prayagraj,Ajbaiya,
7.78,619.0,414.73,366.0,14.0,0.32,0.0,0.0,140.0,24.0,19.0,89.0,5.0,0,0,0,0,0,0,0,0,SAFE,29.7097,77.9639,Uttarakhand,Haridwar,Govardhanpur,
8.1,421.0,282.07,214.0,14.0,0.61,0.0,17.0,55.0,16.0,4.0,71.0,5.0,0,0,0,0,0,0,0,0,SAFE,29.5667,78.025,Uttarakhand,Haridwar,Dallawala,
7.87,655.0,438.85,281.0,36.0,0.0,27.0,38.0,320.0,84.0,26.0,17.0,3.0,0,0,0,0,0,0,1,1,MODERATE,29.8658,78.1808,Uttarakhand,Haridwar,Shyampur,
7.83,606.0,406.02,305.0,21.0,0.69,11.0,39.0,290.0,60.0,34.0,12.0,6.0,0,0,0,0,0,0,1,1,MODERATE,29.8072,78.1389,Uttarakhand,Haridwar,Shahpur Shitlakhera,
7.61,537.0,359.79,220.0,32.0,0.46,36.0,38.0,240.0,64.0,19.0,16.0,3.0,0,0,0,0,0,0,1,1,MODERATE,29.9078,78.0981,Uttarakhand,Haridwar,Sarai,
7.69,690.0,462.3,378.0,21.0,0.67,0.0,0.0,270.0,60.0,29.0,41.0,2.0,0,0,0,0,0,0,1,1,MODERATE,30.0097,77.9378,Uttarakhand,Haridwar,Rathora,
7.91,573.0,383.91,268.0,21.0,0.0,0.0,49.0,275.0,76.0,20.0,18.0,2.0,0,0,1,0,0,0,1,2,MODERATE,29.8031,78.2117,Uttarakhand,Haridwar,Rasiyabad Churaha,
7.77,478.0,320.26,220.0,28.0,0.47,9.0,32.0,220.0,56.0,19.0,15.0,5.0,0,0,0,0,0,0,1,1,MODERATE,29.5869,78.135,Uttarakhand,Haridwar,Panjaheri,
7.93,695.0,465.65,317.0,21.0,0.0,24.0,57.0,320.0,100.0,17.0,27.0,2.0,0,0,1,0,0,0,1,2,MODERATE,29.8503,78.3144,Uttarakhand,Haridwar,Laldhang,
7.82,612.0,410.04,293.0,28.0,0.6,13.0,42.0,280.0,60.0,31.0,19.0,3.0,0,0,0,0,0,0,1,1,MODERATE,29.9772,78.4461,Uttarakhand,Haridwar,Jassodharpur* New,
7.76,845.0,566.15,299.0,71.0,0.49,38.0,50.0,300.0,64.0,34.0,51.0,33.0,0,1,1,0,0,0,1,3,HIGH,29.845,78.1144,Uttarakhand,Haridwar,Dhanpura,
7.86,597.0,399.99,323.0,14.0,0.0,5.0,33.0,280.0,92.0,12.0,12.0,2.0,0,0,0,0,0,0,1,1,MODERATE,29.76,78.1058,Uttarakhand,Haridwar,Dalupuri,
7.49,881.0,590.27,390.0,57.0,0.57,12.0,60.0,310.0,92.0,19.0,34.0,82.0,0,1,1,0,0,0,1,3,HIGH,29.7775,78.1689,Uttarakhand,Haridwar,Bhogpur,
7.86,494.0,330.98,220.0,28.0,0.56,22.0,32.0,250.0,72.0,17.0,10.0,0.0,0,0,0,0,0,0,1,1,MODERATE,29.9175,78.0439,Uttarakhand,Haridwar,Bahadrabad,
8.38,437.0,292.79,189.0,14.0,0.39,0.0,0.0,190.0,40.0,22.0,18.0,3.0,0,0,0,0,0,0,0,0,SAFE,29.7289,77.7972,Uttarakhand,Haridwar,Lakhnauta,
7.91,326.0,218.42,183.0,18.0,0.0,0.0,0.0,140.0,40.0,10.0,14.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.2147,78.0525,Uttarakhand,Dehradun,Dudhli* New,
7.95,430.0,288.1,195.0,14.0,0.5,7.0,43.0,210.0,52.0,19.0,8.0,1.0,0,0,0,0,0,0,1,1,MODERATE,30.1778,78.1344,Uttarakhand,Dehradun,Bhaniawala,
7.74,287.0,192.29,140.0,7.0,0.0,0.0,12.0,135.0,22.0,19.0,3.0,0.0,0,0,0,0,0,0,0,0,SAFE,29.8056,79.6164,Uttarakhand,Almora,Chanoda,
8.07,147.0,98.49,55.0,11.0,0.15,6.0,5.0,45.0,12.0,4.0,13.0,2.0,0,0,0,0,0,0,0,0,SAFE,29.5708,79.6764,Uttarakhand,Almora,Palna,
7.31,291.0,194.97,73.0,28.0,0.0,23.0,22.0,100.0,28.0,7.0,18.0,5.0,0,0,0,0,0,0,0,0,SAFE,29.6392,79.6147,Uttarakhand,Almora,Katarmal,
8.81,160.0,107.2,31.0,14.0,0.0,0.0,9.0,40.0,12.0,2.0,15.0,2.0,1,0,0,0,0,0,0,1,MODERATE,29.6319,79.6008,Uttarakhand,Almora,Jholi,
7.84,165.0,110.55,73.0,11.0,0.0,0.0,0.0,55.0,18.0,2.0,12.0,1.0,0,0,0,0,0,0,0,0,SAFE,29.6619,79.6083,Uttarakhand,Almora,Itola,
7.3,597.0,399.99,92.0,71.0,0.0,77.0,47.0,140.0,44.0,7.0,65.0,12.0,0,0,1,0,0,0,0,1,MODERATE,29.5708,79.6764,Uttarakhand,Almora,Dharanaula,
7.62,180.0,120.6,92.0,7.0,0.0,0.0,0.0,60.0,20.0,2.0,13.0,0.0,0,0,0,0,0,0,0,0,SAFE,29.7117,79.6275,Uttarakhand,Almora,Bhagtola,
8.07,380.0,254.6,189.0,14.0,0.0,13.0,5.0,180.0,40.0,19.0,4.0,2.0,0,0,0,0,0,0,0,0,SAFE,29.96,79.3414,Uttarakhand,Almora,Simalkhet,
7.69,485.0,324.95000000000005,268.0,11.0,0.0,0.0,0.0,235.0,48.0,28.0,0.0,0.0,0,0,0,0,0,0,1,1,MODERATE,29.9069,79.3547,Uttarakhand,Almora,Peepal Dhar,
8.05,412.0,276.04,232.0,7.0,0.0,0.0,0.0,200.0,40.0,24.0,2.0,0.0,0,0,0,0,0,0,0,0,SAFE,29.9086,79.3544,Uttarakhand,Almora,Dhansari,
7.97,594.0,397.98,275.0,25.0,1.7,0.0,17.0,190.0,38.0,23.0,41.0,10.0,0,0,0,1,0,0,0,1,MODERATE,29.9322,79.3486,Uttarakhand,Almora,Dhalnagaon,
8.68,227.0,152.09,55.0,21.0,0.21,8.0,6.0,60.0,20.0,2.0,23.0,2.0,1,0,0,0,0,0,0,1,MODERATE,29.8428,79.2972,Uttarakhand,Almora,Deepakot,
7.79,558.0,373.86,268.0,21.0,0.9,10.0,15.0,240.0,52.0,26.0,16.0,2.0,0,0,0,0,0,0,1,1,MODERATE,25.3669,82.0056,Uttar Pradesh,Varanasi,Srinagar Colony,
7.6,778.0,521.26,305.0,57.0,0.64,42.0,14.0,270.0,56.0,31.0,53.0,4.0,0,1,0,0,0,0,1,2,MODERATE,25.3075,82.9835,Uttar Pradesh,Varanasi,Singra,
7.87,578.0,387.2600000000001,305.0,28.0,0.22,0.0,10.0,240.0,56.0,24.0,28.0,3.0,0,0,0,0,0,0,1,1,MODERATE,25.3644,82.9456,Uttar Pradesh,Varanasi,Shivpur,
7.85,840.0,562.8000000000001,366.0,50.0,0.95,39.0,0.0,300.0,40.0,48.0,51.0,2.0,0,1,0,0,0,0,1,2,MODERATE,25.3169,82.9899,Uttar Pradesh,Varanasi,Nanak Nagar,
8.07,765.0,512.5500000000001,293.0,71.0,0.7,37.0,0.0,250.0,48.0,31.0,58.0,5.0,0,1,0,0,0,0,1,2,MODERATE,25.3121,83.0048,Uttar Pradesh,Varanasi,Nai Sarak,
7.84,1035.0,693.45,378.0,92.0,0.6,35.0,42.0,400.0,64.0,58.0,47.0,7.0,0,1,0,0,0,0,1,2,MODERATE,25.3282,83.0319,Uttar Pradesh,Varanasi,Konia,
7.82,1328.0,889.7600000000001,378.0,156.0,0.8,106.0,17.0,460.0,76.0,65.0,86.0,8.0,0,1,0,0,0,0,1,2,MODERATE,25.3271,83.0058,Uttar Pradesh,Varanasi,Jaitpura,
7.66,1425.0,954.75,549.0,106.0,1.35,74.0,54.0,380.0,56.0,58.0,155.0,3.0,0,1,1,0,0,0,1,3,HIGH,25.2878,82.9879,Uttar Pradesh,Varanasi,Gopichat Gully,
7.84,927.0,621.09,451.0,71.0,0.3,0.0,19.0,280.0,52.0,36.0,93.0,4.0,0,1,0,0,0,0,1,2,MODERATE,25.3503,82.9681,Uttar Pradesh,Varanasi,Gilat Bazar,
7.91,1130.0,757.1,537.0,50.0,0.95,27.0,16.0,230.0,36.0,34.0,149.0,2.0,0,1,0,0,0,0,1,2,MODERATE,25.3467,82.9871,Uttar Pradesh,Varanasi,Dhupchandi,
8.2,608.0,407.36,354.0,14.0,0.56,0.0,0.0,240.0,72.0,14.0,31.0,3.0,0,0,0,0,0,0,1,1,MODERATE,25.2716,82.9854,Uttar Pradesh,Varanasi,Bhu Campus,
8.0,607.0,406.69,372.0,7.0,0.42,0.0,0.0,170.0,40.0,17.0,66.0,3.0,0,0,0,0,0,0,0,0,SAFE,25.3658,82.9639,Uttar Pradesh,Varanasi,Bhagatpur,
7.82,776.0,519.9200000000001,317.0,57.0,1.15,36.0,0.0,300.0,48.0,43.0,36.0,2.0,0,1,0,0,0,0,1,2,MODERATE,25.2873,83.0036,Uttar Pradesh,Varanasi,Assi,
7.91,578.0,387.2600000000001,329.0,7.0,0.5,0.0,6.0,250.0,56.0,26.0,16.0,3.0,0,0,0,0,0,0,1,1,MODERATE,25.3469,83.0093,Uttar Pradesh,Varanasi,Ashok Nagar,
7.87,1202.0,805.34,500.0,78.0,1.2,47.0,40.0,440.0,48.0,77.0,72.0,4.0,0,1,0,0,0,0,1,2,MODERATE,25.357,82.9932,Uttar Pradesh,Varanasi,Akatha,
8.07,820.0,549.4,451.0,14.0,1.05,6.0,9.0,250.0,36.0,38.0,70.0,3.0,0,1,0,0,0,0,1,2,MODERATE,25.3661,82.7481,Uttar Pradesh,Varanasi,Sewapuri,
8.0,1465.0,981.55,610.0,92.0,0.65,54.0,55.0,460.0,48.0,82.0,105.0,32.0,0,1,1,0,0,0,1,3,HIGH,25.3064,82.9628,Uttar Pradesh,Varanasi,Kashividyapeeth,
8.09,115.0,77.05000000000001,55.0,7.0,0.0,0.0,0.0,45.0,12.0,4.0,4.0,1.0,0,0,0,0,0,0,0,0,SAFE,29.8328,79.6025,Uttarakhand,Almora,Chhani Bartola,
8.12,700.0,469.0,220.0,21.0,0.36,0.0,153.0,340.0,84.0,31.0,5.0,2.0,0,0,1,0,0,0,1,2,MODERATE,30.1736,78.1136,Uttarakhand,Dehradun,Chandmari,
7.37,144.0,96.48,67.0,11.0,0.13,0.0,0.0,70.0,12.0,10.0,0.0,0.0,0,0,0,0,0,0,0,0,SAFE,29.8167,79.6139,Uttarakhand,Almora,Guruda-I,
8.62,227.0,152.09,79.0,14.0,0.31,0.0,6.0,70.0,22.0,4.0,18.0,0.0,1,0,0,0,0,0,0,1,MODERATE,29.5939,79.4653,Uttarakhand,Almora,Baniya Diggi,
7.73,745.0,499.15,366.0,21.0,0.43,8.0,60.0,390.0,96.0,36.0,8.0,0.0,0,0,1,0,0,0,1,2,MODERATE,30.3122,77.9794,Uttarakhand,Dehradun,Telpura,
7.96,761.0,509.87,354.0,21.0,0.45,17.0,77.0,390.0,88.0,41.0,10.0,1.0,0,1,1,0,0,0,1,3,HIGH,30.3306,77.8622,Uttarakhand,Dehradun,Singhniwala,
7.74,186.0,124.62,67.0,14.0,0.39,7.0,16.0,75.0,16.0,8.0,13.0,0.0,0,0,0,0,0,0,0,0,SAFE,30.3903,77.8281,Uttarakhand,Dehradun,Shankarpur,
7.24,287.0,192.29,116.0,21.0,0.42,13.0,11.0,120.0,24.0,14.0,15.0,0.0,0,0,0,0,0,0,0,0,SAFE,30.3536,77.8633,Uttarakhand,Dehradun,Selakui,
7.28,215.0,144.05,98.0,14.0,0.31,0.0,0.0,80.0,16.0,10.0,13.0,0.0,0,0,0,0,0,0,0,0,SAFE,30.3867,77.8125,Uttarakhand,Dehradun,Sahaspur,
7.3,439.0,294.13,201.0,36.0,0.43,0.0,0.0,145.0,44.0,8.0,35.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.4058,77.8633,Uttarakhand,Dehradun,Redapur,
7.38,281.0,188.27,104.0,14.0,0.37,17.0,32.0,120.0,32.0,10.0,11.0,1.0,0,0,0,0,0,0,0,0,SAFE,30.3697,77.8442,Uttarakhand,Dehradun,Rampura,
7.83,790.0,529.3000000000001,348.0,25.0,0.43,17.0,88.0,380.0,92.0,36.0,10.0,1.0,0,1,1,0,0,0,1,3,HIGH,30.3314,77.8819,Uttarakhand,Dehradun,Ramgarh,
7.78,1645.0,1102.15,305.0,362.0,0.38,0.0,19.0,440.0,124.0,31.0,161.0,2.0,0,1,0,0,1,0,1,3,HIGH,30.3467,77.9467,Uttarakhand,Dehradun,Nanda Ki Chowki,
